author,desc,genre,img,release,score,time,title
Fritz Lang,Des ouvriers travaillent dans les souterrains d'une fabuleuse métropole de l'an 2026. Ils assurent le bonheur des nantis qui vivent dans les jardins suspendus de la ville. Un androïde mène les ouvriers vers la révolte.,"Science Fiction,Thriller","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",19 octobre 2011,"4,8,4,2",2h 33min,Metropolis
Robert Aldrich,"Jane, actrice de second plan, envie la gloire de sa soeur, Blanche, star du grand écran. Quelques années plus tard, Jane aigrie et usée terrorise et sequestre Blanche dont la carrière a été stoppée par une infirmité.","Drame,Thriller","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,2,--",2h 14min,Qu'est-il arrivé à Baby Jane ?
Park Chan-Wook,"Fin des années 80. Un père de famille est enlevé sans raison et séquestré dans une cellule. Il apprend par la télévision de sa cellule qu'il est accusé du meurtre de sa femme. Relâché 15 ans plus tard, il est contacté par celui qui l'avait enlevé.","Action,Drame,Thriller","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,0,4,2","1h 59min
 ",Old Boy
Shin'ichirô Ushijima,"Sakura est une lycéenne populaire et pleine de vie. Tout l’opposé d'un de ses camarades solitaires qui, tombant par mégarde sur son journal intime, découvre qu’elle n’a plus que quelques mois à vivre... Unis par ce secret, ils se rapprochent et s'apprivoisent.","Animation,Drame,Romance",https://fr.web.img2.acsta.net/c_310_420/pictures/19/02/28/10/26/3234290.jpg,,"4,3,--",1h 48min,Je veux manger ton pancréas
Julien Duvivier,"Monsieur Hire est un homme que les villageois jugent comme bizarre et presque inquiétant. Lorsqu'un crime est commis, le vrai coupable cherche donc à faire porter le chapeau à ce coupable idéal.","Policier,Drame","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",30 mars 2016,"4,3,--",1h 31min,Panique
Ryan Murphy,"Une adaptation de la pièce The Normal Heart, qui décrit la montée en puissance du virus du sida dans les années 80 et le combat d'un écrivain-activiste, Ned Weeks, fondateur d'un groupe d'aide luttant contre la maladie.",Drame,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,3,--",2h 12min,The Normal Heart
Sergio Pablos,Un jeune facteur affecté à une sinistre petite ville glacée du pôle Nord découvre que le père Noël s'y cache.,Animation,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,2,4,3",1h 36min,Klaus
Joseph L. Mankiewicz,"Deborah Bishop, Rita Phipps et Laura May Hollingsway partent en croisière laissant leurs maris respectifs. Mais avant de partir, elles reçoivent une lettre d'une de leur amie commune, Addie Ross, dans laquelle elle prévient qu'elle part avec le mari de l'une d'entre elles. Mais lequel ?",Comédie dramatique,https://fr.web.img4.acsta.net/c_310_420/pictures/14/06/05/11/44/151506.jpg,7 décembre 2016,"5,0,4,2",1h 43min,Chaînes conjugales
Matthew Warchus,,"Comédie,Drame","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"3,7,4,2",2h 00min,Pride
Michael Curtiz,"Mildred Pierce est interrogée par la police après la mort de son second mari. Elle revient alors sur sa vie, de son premier mariage à ses efforts pour satisfaire les besoins de sa fille.","Policier,Drame","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",17 mai 2006,"4,5,4,2",1h 51min,Le Roman de Mildred Pierce
Wes Anderson,"Le film retrace les aventures de Gustave H, l’homme aux clés d’or d’un célèbre hôtel européen de l’entre-deux-guerres et du garçon d’étage Zéro Moustafa, son allié le plus fidèle.","Comédie,Drame","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,5,4,2",1h 40min,The Grand Budapest Hotel
None,"C.C. Baxter est employé à la Sauvegarde, grande compagnie d'assurance. Dans l'espoir d'un avancement il prête souvent son appartement à ses supérieurs qui y emmènent leurs petites amies. Un jour le chef du personnel le convoque et lui apprend qu'il sait tout...","Comédie dramatique,Romance","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",16 janvier 2019,"3,9,4,2",2h 05min,La Garçonnière
Clint Eastwood,"Trois amis d'enfance se perdent de vue. 25 ans plus tard, une affaire de meurtre les réunit à nouveau. La fille de Jimmy est retrouvée assassinée. Le père endeuillé rêve de se venger et Sean, affecté à l'enquête, croit connaître le coupable...","Policier,Drame,Thriller","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,7,4,2", 2h 17min,Mystic River
David Lean,"Dans le café-buffet de la gare de Milford, un homme et une femme se disent adieu. Troublée par l’arrivée fortuite d’une amie encombrante, Laura, la femme, fait un malaise au moment où l’homme la quitte pour prendre son train.","Drame,Romance","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",6 juillet 2011,"4,2,--",1h 26min,Brève Rencontre
Steven Spielberg,"2045. Le monde est au bord du chaos. Les êtres humains se réfugient dans l'OASIS, univers virtuel mis au point par le brillant et excentrique James Halliday. Avant de disparaître, celui-ci a décidé de léguer son immense fortune à quiconque découvrira l'œuf de Pâques numérique qu'il a pris soin de dissimuler dans l'OASIS.","Action,Science Fiction","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,0,4,2", 2h 20min,Ready Player One
